City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Korla,CN,80.53,overcast clouds,41.7597,86.1469,Gulisitan Hotel
392,San Patricio,US,79.84,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
395,Lorengau,PG,85.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
396,Sibolga,ID,83.17,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
400,Bayonet Point,US,84.2,overcast clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
407,Luganville,VU,84.25,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
408,Pizarro,CO,78.13,moderate rain,4.9533,-77.366,Hotel Limonar
412,Puerto Cabezas,NI,78.4,overcast clouds,14.0351,-83.3888,Cabaña Caribe
415,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
417,Bayan,CN,78.62,broken clouds,46.0833,127.4,Wanhao Inn
431,Mount Pleasant,US,76.3,broken clouds,32.7941,-79.8626,Best Western Patriots Point
436,Selu,IN,82.36,clear sky,19.4667,76.4667,M D
443,Abonnema,NG,75.38,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
448,Chatrapur,IN,86.49,overcast clouds,19.35,84.9833,Circuit House
449,Aden,YE,86.36,clear sky,12.7794,45.0367,Sama Emirate Hotel
453,Muscat,OM,86.02,clear sky,23.6139,58.5922,Mutrah Hotel
455,Mareeba,AU,79.66,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
457,Renqiu,CN,87.8,broken clouds,38.6989,116.0936,City Garden Renqiu Meishicheng Store
459,Madang,PG,83.53,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
463,Ngawi,ID,81.66,scattered clouds,-7.4038,111.4461,"""G.W.A. KOST"" NGAWI (dpn Klurahan KETANGGI)"
469,Dhidhdhoo,MV,83.75,broken clouds,6.8833,73.1,Dhidhoo beach
471,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
475,Barahona,DO,78.15,overcast clouds,18.2085,-71.1008,Hotel Caribe
477,Chenghai,CN,78.71,broken clouds,23.4632,116.768,Guangdong Hotel
