City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Sovetskiy,RU,61.3614,63.5842,37.42,84,92,10.58,overcast clouds
70,Codrington,AU,-38.2667,141.9667,60.19,52,0,3.24,clear sky
71,Marfino,RU,55.7028,37.3822,37.31,65,0,4.47,clear sky
72,Spornoye,RU,50.8448,37.2913,41.2,91,75,9.82,broken clouds
73,Mataura,NZ,-46.1927,168.8643,50.49,75,79,9.6,broken clouds
74,Nanortalik,GL,60.1432,-45.2371,34.43,92,74,10.56,broken clouds
75,Waingapu,ID,-9.6567,120.2641,85.3,65,18,14.56,few clouds
76,Isangel,VU,-19.55,169.2667,84.31,79,40,6.91,scattered clouds
77,Xining,CN,36.6167,101.7667,61.27,52,100,2.89,overcast clouds
78,New Norfolk,AU,-42.7826,147.0587,57.92,59,9,1.95,clear sky
79,Port Elizabeth,ZA,-33.918,25.5701,57.72,81,97,5.37,overcast clouds
80,Chuy,UY,-33.6971,-53.4616,51.66,82,18,5.39,few clouds
81,San Policarpo,PH,12.1791,125.5072,83.95,72,97,10.13,overcast clouds
82,Zinder,NE,13.8072,8.9881,82.13,16,67,6.91,broken clouds
83,Arari,BR,-3.4536,-44.78,72.86,97,87,2.17,overcast clouds
84,Tikrit,IQ,34.6071,43.6782,75.42,35,99,21.79,overcast clouds
85,Henties Bay,NA,-22.116,14.2845,64.0,43,0,5.97,clear sky
86,Chengde,CN,40.9725,117.9361,84.63,28,41,3.33,scattered clouds
87,Sao Filipe,CV,14.8961,-24.4956,71.6,74,14,7.0,few clouds
88,Tahoua,NE,14.8888,5.2692,87.22,30,100,5.01,overcast clouds
89,Mbini,GQ,1.574,9.6134,77.07,87,100,10.71,light rain
90,Arlit,NE,18.7369,7.3853,83.48,31,99,8.75,overcast clouds
91,Marabba,SD,12.35,32.1833,84.54,31,89,4.21,overcast clouds
92,Ugoofaaru,MV,5.6667,73.0,83.35,76,54,13.82,broken clouds
93,Souillac,MU,-20.5167,57.5167,73.78,73,40,5.75,scattered clouds
94,Takoradi,GH,4.8845,-1.7554,74.14,93,99,6.67,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,3.44,broken clouds
96,Kodiak,US,57.79,-152.4072,47.71,81,100,16.11,light rain
97,Tahe,CN,52.3333,124.7333,40.24,95,100,7.76,overcast clouds
98,Fare,PF,-16.7,-151.0167,80.76,68,26,13.71,scattered clouds
99,Dayong,CN,25.0209,118.2898,72.95,85,100,1.83,overcast clouds
100,Alofi,NU,-19.0595,-169.9187,80.49,78,6,10.36,clear sky
101,Komsomolskiy,UZ,40.4272,71.7189,56.12,76,100,2.3,overcast clouds
102,Tuatapere,NZ,-46.1333,167.6833,52.75,68,46,11.36,scattered clouds
103,Dikson,RU,73.5069,80.5464,24.82,88,81,11.97,broken clouds
104,Chokurdakh,RU,70.6333,147.9167,33.31,100,100,6.76,overcast clouds
105,Jiguani,CU,20.3667,-76.4272,78.58,90,100,6.89,overcast clouds
106,North Myrtle Beach,US,33.816,-78.68,76.12,88,75,14.97,broken clouds
107,Tarko-Sale,RU,64.9225,77.785,59.18,56,77,19.98,broken clouds
108,Cidreira,BR,-30.1811,-50.2056,58.91,79,42,7.65,scattered clouds
109,Tomatlan,MX,19.9333,-105.25,74.25,76,0,4.72,clear sky
110,Kaeo,NZ,-35.1,173.7833,62.82,66,100,8.43,overcast clouds
111,Nanakuli,US,21.3906,-158.1547,82.35,53,0,14.97,clear sky
112,Yar-Sale,RU,66.8333,70.8333,35.98,90,99,28.52,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,72.16,54,17,16.46,few clouds
114,Geraldton,AU,-28.7667,114.6,68.41,68,75,23.02,broken clouds
115,Mazagao,BR,-0.115,-51.2894,77.05,93,100,2.91,overcast clouds
116,Bridlington,GB,54.0831,-0.1919,58.89,94,100,6.33,overcast clouds
117,Skibbereen,IE,51.55,-9.2667,52.11,85,100,11.43,overcast clouds
118,Jalu,LY,29.0331,21.5482,67.32,33,0,5.93,clear sky
119,Alihe,CN,50.5667,123.7167,62.56,44,56,9.57,broken clouds
120,Hilo,US,19.7297,-155.09,82.27,79,100,11.5,overcast clouds
121,Darnah,LY,32.767,22.6367,65.46,45,0,13.0,clear sky
122,Port Lincoln,AU,-34.7333,135.8667,65.82,63,21,12.17,few clouds
123,Barinas,VE,8.6226,-70.2075,84.24,70,44,3.44,scattered clouds
124,Mount Isa,AU,-20.7333,139.5,78.57,38,3,10.36,clear sky
125,Port Shepstone,ZA,-30.7414,30.455,60.4,76,52,7.99,broken clouds
126,Auki,SB,-8.7676,160.7034,83.8,73,28,3.6,scattered clouds
127,Zhezkazgan,KZ,47.8043,67.7144,55.38,26,0,15.66,clear sky
128,Buala,SB,-8.145,159.5921,85.42,69,35,4.74,light rain
129,Vilyuysk,RU,63.7553,121.6247,60.37,37,20,4.21,few clouds
130,Saint-Francois,FR,46.4154,3.9054,64.67,82,0,2.3,clear sky
131,Saldanha,ZA,-33.0117,17.9442,48.25,90,99,1.68,overcast clouds
132,Berezniki,RU,59.4152,56.8124,33.82,98,100,6.33,light snow
133,Kungurtug,RU,50.5994,97.5228,69.37,19,98,5.44,overcast clouds
134,Tarakan,ID,3.3,117.6333,78.3,89,100,4.61,light rain
135,Kaitangata,NZ,-46.2817,169.8464,50.97,70,99,17.27,overcast clouds
136,Qaanaaq,GL,77.484,-69.3632,25.88,78,100,8.59,overcast clouds
137,Moussoro,TD,13.6408,16.4901,85.68,14,53,13.24,broken clouds
138,Vanimo,PG,-2.6741,141.3028,85.89,67,100,7.25,overcast clouds
139,Tasiilaq,GL,65.6145,-37.6368,33.96,99,100,12.53,snow
140,Gibraltar,GI,36.1447,-5.3526,66.15,77,20,12.66,few clouds
141,Faanui,PF,-16.4833,-151.75,81.12,69,7,14.07,clear sky
142,Roebourne,AU,-20.7833,117.1333,73.51,74,100,7.43,overcast clouds
143,Mackay,AU,-21.15,149.2,75.69,77,80,15.28,broken clouds
144,Aitape,PG,-3.1374,142.3475,86.38,65,86,7.05,overcast clouds
145,Bouna,CI,9.2667,-3.0,72.43,85,96,4.27,overcast clouds
146,Atambua,ID,-9.1061,124.8925,83.73,52,18,3.8,few clouds
147,Tatarskaya Pishlya,RU,54.0608,44.8998,32.49,78,18,6.13,few clouds
148,Grand Gaube,MU,-20.0064,57.6608,73.8,77,1,3.0,clear sky
149,Mouila,GA,-1.8685,11.0559,70.14,93,53,0.78,broken clouds
150,San Cristobal,VE,7.7669,-72.225,71.78,84,2,2.93,clear sky
151,Kryvyy Rih,UA,47.9167,33.35,51.78,83,71,10.25,broken clouds
152,Asau,RO,46.4333,26.4,51.28,91,100,2.3,overcast clouds
153,Saint George,US,37.1041,-113.5841,84.63,10,0,9.22,clear sky
154,Vaini,TO,-21.2,-175.2,82.56,83,40,8.05,scattered clouds
155,Shiyan,CN,32.6475,110.7781,77.5,56,0,3.31,clear sky
156,Dalvik,IS,65.9702,-18.5286,37.33,93,100,4.09,overcast clouds
157,Lavrentiya,RU,65.5833,-171.0,40.46,79,99,3.02,overcast clouds
158,Bay Roberts,CA,47.5999,-53.2648,55.15,66,80,5.01,broken clouds
159,Yarmouth,US,41.7057,-70.2286,67.64,94,75,18.41,mist
160,Kikwit,CD,-5.041,18.8162,70.72,95,98,0.29,light rain
161,Betioky,MG,-23.7167,44.3833,62.6,40,3,4.36,clear sky
162,Saint Anthony,US,45.0205,-93.218,53.65,54,100,3.44,overcast clouds
163,Coahuayana,MX,18.7333,-103.6833,74.82,84,31,3.29,scattered clouds
164,Morro Bay,US,35.3658,-120.8499,71.94,74,17,5.01,few clouds
165,Eureka,US,40.8021,-124.1637,56.19,86,100,3.0,overcast clouds
166,Mayo,US,38.8876,-76.5119,72.21,94,100,11.5,moderate rain
167,Tautira,PF,-17.7333,-149.15,78.94,76,25,12.88,scattered clouds
168,Ouadda,CF,8.0777,22.4007,69.66,79,61,4.09,broken clouds
169,Lebu,CL,-37.6167,-73.65,49.23,79,100,2.44,overcast clouds
170,Yatou,CN,37.15,122.3833,77.97,43,100,15.23,overcast clouds
171,Kiunga,PG,-6.1219,141.2906,84.65,71,84,3.83,broken clouds
172,Hithadhoo,MV,-0.6,73.0833,83.39,73,100,13.31,overcast clouds
173,Lompoc,US,34.6391,-120.4579,64.78,76,40,24.0,scattered clouds
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.71,72,21,7.52,few clouds
175,Georgetown,MY,5.4112,100.3354,87.73,73,20,4.61,few clouds
176,Heihe,CN,50.2441,127.4902,64.98,33,79,6.58,broken clouds
177,Auch,FR,43.65,0.5833,65.25,83,100,4.0,overcast clouds
178,Mar Del Plata,AR,-38.0023,-57.5575,54.95,78,0,4.61,clear sky
179,Qaqortoq,GL,60.7167,-46.0333,34.29,89,99,9.1,overcast clouds
180,Port Hardy,CA,50.6996,-127.4199,51.98,82,100,6.91,light rain
181,Bolshaya Martynovka,RU,47.271,41.6679,48.85,97,15,8.99,few clouds
182,Klaksvik,FO,62.2266,-6.589,47.32,89,44,9.37,scattered clouds
183,Labuhan,ID,-6.8844,112.2051,84.65,72,66,13.96,broken clouds
184,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,100,13.8,overcast clouds
