City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-05-12 01:32:37,-33.8667,121.9,60.19,82,100,5.88
1,College,US,2022-05-12 01:32:37,64.8569,-147.8028,50.58,40,75,5.75
2,Sisimiut,GL,2022-05-12 01:32:38,66.9395,-53.6735,24.89,62,0,11.25
3,Cape Town,ZA,2022-05-12 01:32:37,-33.9258,18.4232,55.11,91,0,4.61
4,Cliza,BO,2022-05-12 01:32:40,-17.6,-65.9333,56.55,69,65,0.43
5,Atuona,PF,2022-05-12 01:32:41,-9.8,-139.0333,79.2,73,20,19.95
6,Port Alfred,ZA,2022-05-12 01:32:42,-33.5906,26.891,59.41,80,0,4.79
7,Damghan,IR,2022-05-12 01:32:43,36.1683,54.348,63.45,47,3,5.64
8,Chengde,CN,2022-05-12 01:32:44,40.9725,117.9361,60.42,16,48,3.71
9,Kodiak,US,2022-05-12 01:32:45,57.79,-152.4072,51.31,50,0,6.91
10,Santa Fe,AR,2022-05-12 01:29:13,-31.6333,-60.7,61.0,81,100,4.0
11,Ahuimanu,US,2022-05-12 01:32:46,21.4447,-157.8378,83.34,61,20,18.41
12,Mtinko,TZ,2022-05-12 01:32:47,-4.55,34.85,58.53,80,74,6.44
13,Bluff,NZ,2022-05-12 01:32:48,-46.6,168.3333,57.79,74,100,17.52
14,Tungor,RU,2022-05-12 01:32:49,53.3808,142.9564,36.88,92,98,14.45
15,Saint George,US,2022-05-12 01:31:02,37.1041,-113.5841,64.99,14,0,33.38
16,Tura,IN,2022-05-12 01:32:50,25.5198,90.2201,77.77,82,59,5.39
17,Darhan,MN,2022-05-12 01:32:50,49.4867,105.9228,46.81,31,100,17.02
18,New Norfolk,AU,2022-05-12 01:32:51,-42.7826,147.0587,57.92,66,100,1.97
19,Mataura,NZ,2022-05-12 01:32:52,-46.1927,168.8643,57.47,63,100,3.71
20,Busselton,AU,2022-05-12 01:32:53,-33.65,115.3333,53.26,92,100,8.72
21,Ahipara,NZ,2022-05-12 01:32:53,-35.1667,173.1667,63.05,54,0,5.46
22,Gediz,TR,2022-05-12 01:32:54,39.0417,29.41,46.83,77,67,4.38
23,Itoman,JP,2022-05-12 01:30:24,26.1247,127.6694,81.37,89,75,18.41
24,Nikolskoye,RU,2022-05-12 01:32:55,59.7035,30.7861,47.8,98,100,3.18
25,Aswan,EG,2022-05-12 01:29:07,24.0934,32.907,81.7,21,0,6.91
26,Eresos,GR,2022-05-12 01:32:57,39.1667,25.9333,61.86,64,2,6.51
27,Khatanga,RU,2022-05-12 01:32:57,71.9667,102.5,26.76,85,100,15.37
28,Tasiilaq,GL,2022-05-12 01:32:58,65.6145,-37.6368,21.36,90,88,2.24
29,Ushuaia,AR,2022-05-12 01:29:04,-54.8,-68.3,41.13,85,100,5.84
30,Puerto Escondido,MX,2022-05-12 01:33:00,15.85,-97.0667,83.89,78,3,6.96
31,Punta Arenas,CL,2022-05-12 01:30:34,-53.15,-70.9167,42.12,81,100,6.58
32,Rikitea,PF,2022-05-12 01:32:31,-23.1203,-134.9692,76.91,83,9,19.42
33,Hermanus,ZA,2022-05-12 01:33:01,-34.4187,19.2345,55.67,78,0,6.42
34,Albany,US,2022-05-12 01:30:09,42.6001,-73.9662,64.45,45,2,2.35
35,Vilyuysk,RU,2022-05-12 01:33:03,63.7553,121.6247,44.28,87,99,7.07
36,Kasli,RU,2022-05-12 01:33:04,55.8909,60.7616,44.22,62,0,4.14
37,Yumen,CN,2022-05-12 01:33:05,40.2833,97.2,60.75,25,100,12.08
38,Victoria,HK,2022-05-12 01:30:20,22.2855,114.1577,80.65,94,100,3.0
39,Ilulissat,GL,2022-05-12 01:33:06,69.2167,-51.1,26.62,46,0,0.0
40,Mabaruma,GY,2022-05-12 01:33:07,8.2,-59.7833,73.27,97,23,3.47
41,Grindavik,IS,2022-05-12 01:33:08,63.8424,-22.4338,37.35,87,75,4.61
42,Rawson,AR,2022-05-12 01:33:09,-43.3002,-65.1023,52.54,70,68,19.62
43,Georgetown,MY,2022-05-12 01:29:58,5.4112,100.3354,85.93,87,20,5.75
44,Brae,GB,2022-05-12 01:33:11,60.3964,-1.353,45.1,73,100,19.28
45,Nanortalik,GL,2022-05-12 01:34:12,60.1432,-45.2371,32.77,89,100,9.46
46,Nome,US,2022-05-12 01:34:13,64.5011,-165.4064,39.27,81,20,17.27
47,Vardo,NO,2022-05-12 01:34:13,70.3705,31.1107,37.38,93,100,2.3
48,Fortuna,US,2022-05-12 01:34:15,40.5982,-124.1573,55.92,65,100,4.0
49,Charyshskoye,RU,2022-05-12 01:34:15,51.3978,83.5598,59.43,47,100,1.77
50,Uturoa,PF,2022-05-12 01:30:46,-16.7333,-151.4333,81.64,77,60,16.51
51,Saskylakh,RU,2022-05-12 01:34:16,71.9167,114.0833,26.26,87,27,14.45
52,Klaksvik,FO,2022-05-12 01:34:17,62.2266,-6.589,40.12,71,100,19.84
53,Dikson,RU,2022-05-12 01:34:18,73.5069,80.5464,16.14,85,5,7.16
54,Beringovskiy,RU,2022-05-12 01:34:19,63.05,179.3167,38.05,87,49,5.68
55,Bredasdorp,ZA,2022-05-12 01:34:20,-34.5322,20.0403,51.91,87,0,4.94
56,Marzuq,YE,2022-05-12 01:34:21,14.4,46.4667,72.9,34,50,2.98
57,Bethel,US,2022-05-12 01:34:21,41.3712,-73.414,63.45,87,1,4.0
58,Outlook,CA,2022-05-12 01:30:04,51.5001,-107.0513,63.23,36,32,5.61
59,Manadhoo,MV,2022-05-12 01:34:22,5.7667,73.3833,83.43,77,49,15.23
60,Tougue,GN,2022-05-12 01:34:23,11.4667,-11.6,74.75,33,50,3.27
61,La Oroya,PE,2022-05-12 01:34:24,-11.5189,-75.8994,43.77,94,100,3.53
62,Kaitangata,NZ,2022-05-12 01:34:25,-46.2817,169.8464,57.27,60,99,6.85
63,Cherskiy,RU,2022-05-12 01:34:26,68.75,161.3,23.58,80,57,9.08
64,Carutapera,BR,2022-05-12 01:34:26,-1.195,-46.02,75.11,95,77,5.1
65,Castro,BR,2022-05-12 01:34:27,-24.7911,-50.0119,52.68,90,0,3.09
66,Nyurba,RU,2022-05-12 01:34:28,63.2842,118.3319,44.58,84,96,7.09
67,Avarua,CK,2022-05-12 01:34:29,-21.2078,-159.775,82.45,83,75,10.36
68,Vao,NC,2022-05-12 01:31:45,-22.6667,167.4833,73.83,66,100,27.02
69,Cordoba,AR,2022-05-12 01:34:30,-31.4135,-64.1811,61.23,73,0,5.75
70,Kiruna,SE,2022-05-12 01:34:31,67.8557,20.2251,31.12,86,81,3.44
71,Manokwari,ID,2022-05-12 01:34:32,-0.8667,134.0833,83.3,70,100,3.91
72,Longyearbyen,SJ,2022-05-12 01:34:33,78.2186,15.6401,19.24,73,0,10.36
73,Sarkand,KZ,2022-05-12 01:34:34,45.41,79.9186,64.24,52,98,2.08
74,Touros,BR,2022-05-12 01:34:35,-5.1989,-35.4608,75.29,91,100,10.87
75,Chokurdakh,RU,2022-05-12 01:34:36,70.6333,147.9167,27.79,90,100,14.65
76,Bathsheba,BB,2022-05-12 01:34:37,13.2167,-59.5167,81.21,78,75,17.27
77,Hamilton,US,2022-05-12 01:34:37,39.1834,-84.5333,75.15,62,0,0.0
78,Ribeira Grande,PT,2022-05-12 01:34:38,38.5167,-28.7,59.13,70,87,11.99
79,Veere,NL,2022-05-12 01:34:39,51.5483,3.6667,55.4,95,7,12.66
80,Okha,RU,2022-05-12 01:34:40,53.5739,142.9478,36.84,89,100,15.26
81,Ancud,CL,2022-05-12 01:34:40,-41.8697,-73.8203,50.31,88,100,11.34
82,Narsaq,GL,2022-05-12 01:34:41,60.9167,-46.05,39.42,97,100,12.01
83,Odweyne,SO,2022-05-12 01:34:42,9.4092,45.064,74.73,41,89,6.89
84,Haicheng,CN,2022-05-12 01:34:42,40.8516,122.7475,59.47,28,100,7.58
85,Hasaki,JP,2022-05-12 01:34:43,35.7333,140.8333,73.29,79,100,10.83
86,Jamestown,US,2022-05-12 01:30:40,42.097,-79.2353,69.44,34,0,8.05
87,Sao Felix Do Xingu,BR,2022-05-12 01:34:44,-6.6447,-51.995,74.82,80,99,1.95
88,Palmer,US,2022-05-12 01:34:45,42.1584,-72.3287,69.4,45,20,5.75
89,Keetmanshoop,NA,2022-05-12 01:34:46,-26.5833,18.1333,57.09,23,0,3.0
90,Daru,PG,2022-05-12 01:35:47,-9.0763,143.2092,86.23,70,94,5.37
91,Hobart,AU,2022-05-12 01:35:47,-42.8794,147.3294,58.26,86,100,4.61
92,Kahului,US,2022-05-12 01:35:48,20.8947,-156.47,87.82,56,40,23.02
93,Bindura,ZW,2022-05-12 01:35:49,-17.3019,31.3306,59.65,83,36,1.72
94,Hilo,US,2022-05-12 01:35:22,19.7297,-155.09,82.27,73,75,13.8
95,Kungurtug,RU,2022-05-12 01:35:50,50.5994,97.5228,42.91,31,2,2.95
96,Barcelona,ES,2022-05-12 01:35:51,41.3888,2.159,64.33,72,20,4.61
97,Maniitsoq,GL,2022-05-12 01:35:52,65.4167,-52.9,32.07,62,70,6.24
98,Saint-Philippe,RE,2022-05-12 01:35:53,-21.3585,55.7679,71.19,83,77,8.63
99,Chuy,UY,2022-05-12 01:35:54,-33.6971,-53.4616,52.74,81,48,7.99
100,Faanui,PF,2022-05-12 01:35:55,-16.4833,-151.75,81.48,76,35,16.24
101,Port Elizabeth,ZA,2022-05-12 01:34:52,-33.918,25.5701,53.31,93,0,2.3
102,General Roca,AR,2022-05-12 01:35:56,-39.0333,-67.5833,46.62,72,92,8.57
103,Narrabri,AU,2022-05-12 01:35:57,-30.3167,149.7833,62.53,96,100,1.01
104,Leningradskiy,RU,2022-05-12 01:35:58,69.3833,178.4167,30.72,95,100,7.0
105,Airai,TL,2022-05-12 01:35:59,-8.9266,125.4092,74.61,57,60,2.01
106,Tarko-Sale,RU,2022-05-12 01:35:59,64.9225,77.785,46.51,78,46,2.28
107,Inuvik,CA,2022-05-12 01:36:00,68.3499,-133.7218,49.06,44,20,9.22
108,Wajid,SO,2022-05-12 01:36:01,3.8093,43.2471,74.16,81,11,15.35
109,Abu Dhabi,AE,2022-05-12 01:32:35,24.4667,54.3667,81.97,70,0,5.75
110,Cidreira,BR,2022-05-12 01:36:02,-30.1811,-50.2056,60.33,85,7,12.71
111,Snezhnogorsk,RU,2022-05-12 01:36:03,69.1933,33.2531,40.78,94,100,7.7
112,Butaritari,KI,2022-05-12 01:36:04,3.0707,172.7902,80.94,77,77,7.87
113,Uruguaiana,BR,2022-05-12 01:36:05,-29.7547,-57.0883,53.78,90,0,7.31
114,Belyy Yar,RU,2022-05-12 01:36:06,53.6039,91.3903,49.89,33,0,2.24
115,Puerto Ayora,EC,2022-05-12 01:36:06,-0.7393,-90.3518,72.55,95,7,1.01
116,Kapaa,US,2022-05-12 01:36:07,22.0752,-159.319,82.38,77,75,14.97
117,Severo-Kurilsk,RU,2022-05-12 01:36:08,50.6789,156.125,41.56,80,16,1.59
118,Saint-Leu,RE,2022-05-12 01:36:09,-21.15,55.2833,71.31,81,43,8.5
119,Tuktoyaktuk,CA,2022-05-12 01:36:10,69.4541,-133.0374,42.8,61,40,16.11
120,East London,ZA,2022-05-12 01:35:13,-33.0153,27.9116,59.88,78,0,5.3
121,Teguldet,RU,2022-05-12 01:31:20,57.3064,88.1667,54.03,33,16,7.47
122,Ostrovnoy,RU,2022-05-12 01:36:11,68.0531,39.5131,41.58,80,100,15.14
123,Carnarvon,AU,2022-05-12 01:36:12,-24.8667,113.6333,78.87,61,100,20.71
124,Valparaiso,CL,2022-05-12 01:31:17,-33.0393,-71.6273,55.47,89,100,2.3
125,Sur,OM,2022-05-12 01:36:13,22.5667,59.5289,86.97,33,100,6.15
126,Sitka,US,2022-05-12 01:36:14,57.0531,-135.33,53.49,47,20,12.66
127,The Valley,AI,2022-05-12 01:36:15,18.217,-63.0578,80.82,81,100,21.09
128,Tommot,RU,2022-05-12 01:36:16,58.9564,126.2925,38.41,66,100,8.72
129,Vila Velha,BR,2022-05-12 01:36:16,-20.3297,-40.2925,75.15,78,0,9.22
130,Arraial Do Cabo,BR,2022-05-12 01:36:17,-22.9661,-42.0278,66.16,94,0,2.3
131,Vila,PT,2022-05-12 01:36:18,42.0304,-8.1588,49.08,87,100,3.53
132,Sinjai,ID,2022-05-12 01:36:19,-5.1241,120.253,85.77,70,100,4.16
133,Bereda,ES,2022-05-12 01:36:20,43.2686,-7.5406,54.57,95,100,4.12
134,Bulembu,SZ,2022-05-12 01:36:21,-25.9667,31.1333,51.24,79,5,2.01
135,Qaanaaq,GL,2022-05-12 01:36:21,77.484,-69.3632,11.66,71,13,6.53
136,Atikokan,CA,2022-05-12 01:37:22,48.7555,-91.6216,58.28,47,100,7.14
137,Bushehr,IR,2022-05-12 01:37:23,28.9684,50.8385,80.69,32,0,13.8
138,Lensk,RU,2022-05-12 01:37:24,60.7253,114.9278,46.9,85,91,5.23
139,Svarstad,NO,2022-05-12 01:37:24,59.399,9.9698,48.09,52,11,5.01
140,Huilong,CN,2022-05-12 01:37:25,31.8111,121.655,64.92,84,100,9.24
141,Fairbanks,US,2022-05-12 01:33:11,64.8378,-147.7164,50.59,39,75,5.75
142,Hay River,CA,2022-05-12 01:35:07,60.8156,-115.7999,37.38,65,20,11.5
143,Hailey,US,2022-05-12 01:37:27,43.5196,-114.3153,53.46,28,40,0.0
144,Kavieng,PG,2022-05-12 01:37:27,-2.5744,150.7967,84.63,72,90,10.54
145,Green River,US,2022-05-12 01:37:29,41.5286,-109.4662,65.19,23,33,8.99
146,Vaini,TO,2022-05-12 01:37:30,-21.2,-175.2,78.96,69,40,8.05
147,Norman Wells,CA,2022-05-12 01:37:30,65.282,-126.8329,50.04,40,40,3.44
148,Katsuura,JP,2022-05-12 01:37:31,35.1333,140.3,69.46,78,100,8.61
149,Lulea,SE,2022-05-12 01:37:32,65.5842,22.1547,32.07,93,99,3.44
150,Najran,SA,2022-05-12 01:37:32,17.4924,44.1277,75.85,25,0,1.79
151,Bengkulu,ID,2022-05-12 01:37:34,-3.8004,102.2655,82.67,74,92,12.97
152,Haimen,CN,2022-05-12 01:37:34,23.1935,116.6142,75.09,96,100,7.87
153,Vostok,RU,2022-05-12 01:37:35,46.4856,135.8833,53.56,40,36,7.29
154,Walvis Bay,NA,2022-05-12 01:37:36,-22.9575,14.5053,56.35,71,0,3.44
155,Stornoway,GB,2022-05-12 01:37:37,58.2093,-6.3865,44.92,91,75,9.22
156,Mahebourg,MU,2022-05-12 01:37:37,-20.4081,57.7,73.69,88,75,3.44
157,Hargeysa,SO,2022-05-12 01:37:38,9.56,44.065,70.56,38,100,3.53
158,Teseney,ER,2022-05-12 01:37:39,15.11,36.6575,82.58,26,6,10.71
159,Lala,PH,2022-05-12 01:37:40,7.9745,123.7458,90.61,60,44,0.74
160,Bogorodskoye,RU,2022-05-12 01:37:41,56.55,37.8833,44.06,74,100,5.66
161,Lorengau,PG,2022-05-12 01:37:42,-2.0226,147.2712,85.55,66,6,8.68
162,Maceio,BR,2022-05-12 01:33:27,-9.6658,-35.7353,74.64,94,75,3.44
163,Tiznit,MA,2022-05-12 01:37:43,29.5833,-9.5,81.55,24,94,2.13
164,Huarmey,PE,2022-05-12 01:37:43,-10.0681,-78.1522,65.35,86,30,6.53
165,Mount Isa,AU,2022-05-12 01:37:44,-20.7333,139.5,69.57,68,100,11.5
166,Nemuro,JP,2022-05-12 01:37:45,43.3236,145.575,47.68,97,100,13.8
167,Torbay,CA,2022-05-12 01:35:42,47.6666,-52.7314,46.76,90,100,25.32
168,Ust-Tsilma,RU,2022-05-12 01:37:46,65.441,52.1498,42.03,85,100,4.68
169,Tiarei,PF,2022-05-12 01:37:47,-17.5333,-149.3333,86.02,78,45,17.56
170,Lagoa,PT,2022-05-12 01:37:47,39.05,-27.9833,58.1,73,76,9.86
171,Constitucion,CL,2022-05-12 01:35:46,-35.3333,-72.4167,56.25,62,100,6.35
172,Niono,ML,2022-05-12 01:37:49,14.2526,-5.993,85.46,7,22,3.62
173,Matamoros,MX,2022-05-12 01:34:38,25.5333,-103.25,79.81,34,3,17.72
174,Makakilo City,US,2022-05-12 01:37:50,21.3469,-158.0858,82.15,49,40,18.41
175,Yulara,AU,2022-05-12 01:37:50,-25.2406,130.9889,64.24,48,100,10.36
176,Husavik,IS,2022-05-12 01:37:51,66.0449,-17.3389,30.87,91,100,7.11
177,Ous,RU,2022-05-12 01:37:52,60.9058,61.5186,49.24,86,100,4.34
178,Adrar,MR,2022-05-12 01:37:53,20.5022,-10.0711,85.28,15,89,7.65
179,San Patricio,US,2022-05-12 01:37:53,28.017,-97.5169,80.83,73,6,13.96
180,Honningsvag,NO,2022-05-12 01:37:54,70.9821,25.9704,35.35,93,100,16.11
181,Limbe,CM,2022-05-12 01:38:55,4.0242,9.2149,79.16,84,100,2.91
182,Whitehorse,CA,2022-05-12 01:38:56,60.7161,-135.0538,46.09,61,75,11.5
183,Jacareacanga,BR,2022-05-12 01:38:57,-6.2222,-57.7528,77.16,76,100,2.35
184,Coquimbo,CL,2022-05-12 01:38:58,-29.9533,-71.3436,57.02,88,71,1.25
185,Kazachinskoye,RU,2022-05-12 01:38:59,57.6953,93.2761,55.04,37,0,4.56
186,Gat,IL,2022-05-12 01:34:03,31.61,34.7642,62.4,100,0,1.23
187,Port Shepstone,ZA,2022-05-12 01:39:00,-30.7414,30.455,65.21,79,37,2.8
188,Santo Antonio Do Ica,BR,2022-05-12 01:39:01,-3.1022,-67.9397,74.5,99,97,2.8
